	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lqskm1	lqskm2	lqspm1	lqspm2	lqskt1a	lqskt1b	lqskt2	lqskt3
								
lhskm1	-32.91	-18.73	-40.54	-8.025	-48.69	-43.90*	7.356	-22.05
	(23.06)	(19.75)	(98.01)	(28.14)	(40.35)	(24.65)	(23.60)	(19.75)
lhskm2	-11.72*	-0.502	-21.93	3.282	-1.951	-7.566	4.361	-0.556
	(6.039)	(5.171)	(25.67)	(7.370)	(10.57)	(6.454)	(6.181)	(5.172)
lhspm1	28.32	15.22	37.26	4.365	40.35	38.42*	-7.556	19.17
	(20.29)	(17.38)	(86.25)	(24.77)	(35.51)	(21.69)	(20.77)	(17.38)
lhspm2	5.293*	0.198	9.380	-1.048	-0.558	3.520	-1.559	-0.150
	(2.938)	(2.516)	(12.49)	(3.585)	(5.141)	(3.140)	(3.007)	(2.516)
lhskt1a	18.52	12.81	-10.83	-14.34	34.66*	30.84**	3.926	19.17*
	(11.94)	(10.22)	(50.74)	(14.57)	(20.89)	(12.76)	(12.22)	(10.22)
lhskt1b	-7.350	-9.618	31.09	24.90**	-28.48*	-28.87***	-14.74*	-17.62**
	(8.513)	(7.290)	(36.18)	(10.39)	(14.90)	(9.098)	(8.712)	(7.290)
lhskt2	13.75*	6.168	14.54	5.579	14.34	9.901	-4.434	5.801
	(7.258)	(6.215)	(30.85)	(8.857)	(12.70)	(7.757)	(7.428)	(6.216)
lhskt3	-17.25*	-6.597	-18.64	-8.778	-10.91	-6.219	9.263	-4.457
	(8.877)	(7.601)	(37.73)	(10.83)	(15.53)	(9.487)	(9.085)	(7.602)
lgni	-1.055	0.123	-2.064	1.326	-2.251	0.306	1.717	0.630
	(1.191)	(1.020)	(5.063)	(1.454)	(2.084)	(1.273)	(1.219)	(1.020)
lpop	48.19***	30.98***	22.60	-27.46*	64.52***	34.82***	10.98	28.19***
	(11.89)	(10.18)	(50.54)	(14.51)	(20.81)	(12.71)	(12.17)	(10.18)
Constant	-882.1***	-578.7***	-389.6	490.8*	-1,196***	-639.7***	-192.5	-536.9***
	(214.9)	(184.0)	(913.2)	(262.2)	(376.0)	(229.6)	(219.9)	(184.0)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.393	0.549	0.089	0.201	0.188	0.232	0.270	0.816
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
