	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lqskm1	lqskm2	lqspm1	lqspm2	lqskt1a	lqskt1b	lqskt2	lqskt3
								
askm1	-15.01*	12.73*	-88.35**	-14.26	18.44	11.98	5.192	25.25***
	(8.935)	(7.380)	(35.43)	(10.32)	(15.15)	(9.264)	(8.617)	(7.390)
askm2	1.952	-3.649**	15.65*	-2.195	-5.189	-1.113	-0.967	-4.603***
	(2.076)	(1.715)	(8.232)	(2.398)	(3.521)	(2.152)	(2.002)	(1.717)
aspm1	11.89*	-10.18*	71.01**	14.28*	-13.50	-9.452	-0.886	-22.04***
	(7.090)	(5.856)	(28.11)	(8.189)	(12.03)	(7.351)	(6.838)	(5.864)
o.aspm2	-	-	-	-	-	-	-	-
								
askt1a	-21.54	-20.00	191.9*	89.96***	-6.746	-36.19	-33.32	-34.19*
	(25.05)	(20.69)	(99.34)	(28.93)	(42.49)	(25.97)	(24.16)	(20.72)
askt1b	55.57	21.79	-178.7	-147.0***	-3.334	75.93**	73.98**	29.17
	(33.83)	(27.94)	(134.2)	(39.08)	(57.39)	(35.08)	(32.63)	(27.98)
askt2	-3.122	-7.529*	52.69**	15.15**	-10.67	-10.63*	-9.850*	-12.10***
	(5.454)	(4.505)	(21.63)	(6.299)	(9.250)	(5.655)	(5.260)	(4.511)
askt3	-1.312	9.603	-61.50	7.124	13.03	-6.690	-7.636	12.85
	(11.12)	(9.182)	(44.08)	(12.84)	(18.86)	(11.53)	(10.72)	(9.194)
lgni	1.713**	2.438***	-2.120	-1.181	1.642	1.950**	1.768**	3.210***
	(0.743)	(0.613)	(2.945)	(0.858)	(1.260)	(0.770)	(0.716)	(0.614)
Constant	21.34***	32.90***	9.169	29.27***	31.83***	21.29***	17.68***	38.58***
	(3.459)	(2.857)	(13.72)	(3.996)	(5.868)	(3.587)	(3.336)	(2.861)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.297	0.514	0.081	0.172	0.117	0.162	0.249	0.802
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
