	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lqskm1	lqskm2	lqspm1	lqspm2	lqskt1a	lqskt1b	lqskt2	lqskt3
								
llskm1	7.865	-1.714	10.95	6.796	-10.88	-13.46**	-9.249	-6.335
	(5.846)	(4.926)	(24.41)	(7.003)	(10.10)	(6.183)	(5.870)	(4.918)
llskm2	-0.658	2.738	-8.637	5.169*	4.065	-1.615	-0.835	2.265
	(2.214)	(1.866)	(9.246)	(2.652)	(3.825)	(2.342)	(2.223)	(1.863)
llspm1	-7.140	0.690	-8.722	-7.407	7.356	11.17**	6.912	5.326
	(4.969)	(4.187)	(20.75)	(5.952)	(8.584)	(5.256)	(4.990)	(4.180)
llspm2	0.0183	-1.402	3.797	-2.314	-2.696	1.101	0.991	-1.339
	(1.298)	(1.094)	(5.421)	(1.555)	(2.243)	(1.373)	(1.304)	(1.092)
llskt1a	0.563	5.136	-32.05	-16.55***	13.76	12.92**	8.908*	10.39**
	(5.335)	(4.496)	(22.28)	(6.390)	(9.216)	(5.643)	(5.357)	(4.488)
llskt1b	-4.386	-7.813*	37.45*	19.94***	-17.41*	-16.56***	-11.63**	-13.00***
	(5.434)	(4.579)	(22.69)	(6.509)	(9.387)	(5.748)	(5.456)	(4.571)
llskt2	-0.425	0.862	-2.996	-1.155	3.959**	2.990***	2.425***	1.821**
	(0.913)	(0.770)	(3.815)	(1.094)	(1.578)	(0.966)	(0.917)	(0.768)
o.llskt3	-	-	-	-	-	-	-	-
								
lgni	-1.581	-0.0683	-2.764	1.185	-2.787	-0.0775	1.804	0.497
	(1.190)	(1.003)	(4.968)	(1.425)	(2.055)	(1.258)	(1.195)	(1.001)
lpop	44.13***	29.50***	17.19	-28.55**	60.38***	31.85**	11.65	27.16***
	(11.98)	(10.09)	(50.01)	(14.35)	(20.69)	(12.67)	(12.03)	(10.08)
Constant	-779.6***	-539.9***	-258.3	529.5**	-1,095***	-574.0**	-219.2	-510.1***
	(214.8)	(181.1)	(897.2)	(257.4)	(371.1)	(227.2)	(215.7)	(180.7)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.369	0.546	0.085	0.200	0.177	0.217	0.269	0.816
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
