	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lqskm1	lqskm2	lqspm1	lqspm2	lqskt1a	lqskt1b	lqskt2	lqskt3
								
laskm1	-7.801	9.423*	-62.96***	-9.069	13.27	7.281	3.639	17.25***
	(6.130)	(5.055)	(24.25)	(7.072)	(10.39)	(6.348)	(5.910)	(5.058)
laskm2	1.148	-1.799**	7.951*	-1.350	-2.434	-0.127	-0.0892	-2.291***
	(1.069)	(0.881)	(4.228)	(1.233)	(1.812)	(1.107)	(1.030)	(0.882)
laspm1	6.197	-7.706*	52.15***	9.462	-10.29	-6.273	-1.682	-15.14***
	(5.013)	(4.134)	(19.83)	(5.783)	(8.497)	(5.191)	(4.833)	(4.136)
o.laspm2	-	-	-	-	-	-	-	-
								
laskt1a	-5.264	-9.160	80.57**	31.83***	-6.112	-13.53	-12.13	-16.13**
	(9.353)	(7.712)	(37.00)	(10.79)	(15.85)	(9.685)	(9.017)	(7.717)
laskt1b	17.61	11.16	-87.87*	-55.55***	4.638	29.84**	28.22**	16.98
	(13.15)	(10.85)	(52.03)	(15.17)	(22.30)	(13.62)	(12.68)	(10.85)
laskt2	-0.579	-3.183*	21.90**	5.324**	-4.334	-3.546	-3.192	-5.191***
	(2.192)	(1.808)	(8.672)	(2.529)	(3.716)	(2.270)	(2.114)	(1.809)
laskt3	-1.263	2.553	-16.45	2.375	3.164	-2.527	-2.698	3.670
	(2.932)	(2.418)	(11.60)	(3.382)	(4.970)	(3.036)	(2.826)	(2.419)
lgni	1.623**	2.384***	-1.915	-1.229	1.515	1.903**	1.694**	3.195***
	(0.729)	(0.601)	(2.885)	(0.841)	(1.236)	(0.755)	(0.703)	(0.602)
Constant	-38.58	-20.75	69.90	102.1***	3.844	-49.81*	-51.69**	-27.15
	(24.95)	(20.57)	(98.70)	(28.78)	(42.29)	(25.84)	(24.05)	(20.59)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.295	0.514	0.083	0.171	0.115	0.162	0.248	0.802
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
