	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lqskm1	lqskm2	lqspm1	lqspm2	lqskt1a	lqskt1b	lqskt2	lqskt3
								
ltskm1	43.55	-40.68	-28.34	-71.74*	-66.35	-49.18	-35.22	-23.71
	(35.67)	(29.73)	(142.3)	(41.43)	(60.83)	(36.85)	(34.35)	(29.55)
ltskm2	-21.73*	6.711	11.14	26.87*	27.65	15.73	12.49	6.472
	(12.34)	(10.29)	(49.25)	(14.34)	(21.05)	(12.75)	(11.89)	(10.23)
ltspm1	-27.52	29.51	-4.588	49.89*	42.19	26.52	28.69	14.40
	(24.54)	(20.45)	(97.90)	(28.50)	(41.85)	(25.35)	(23.63)	(20.33)
ltspm2	2.830	2.956	22.13	-5.411	-3.495	6.597	-5.781	2.676
	(4.333)	(3.612)	(17.29)	(5.033)	(7.390)	(4.477)	(4.173)	(3.590)
ltskt1a	15.66*	6.071	-58.49*	-13.36	5.183	1.241	12.09	6.521
	(8.272)	(6.894)	(33.00)	(9.608)	(14.11)	(8.547)	(7.967)	(6.853)
ltskt1b	-30.23**	3.844	38.20	40.79***	8.721	-6.039	-20.19*	0.173
	(11.85)	(9.880)	(47.29)	(13.77)	(20.22)	(12.25)	(11.42)	(9.820)
ltskt2	10.64	-5.861	4.429	-22.60**	-5.816	8.619	12.38*	-2.480
	(7.711)	(6.427)	(30.76)	(8.956)	(13.15)	(7.967)	(7.426)	(6.388)
ltskt3	4.560	-4.939	23.16	-3.102	-6.048	-2.754	-5.222	-3.781
	(3.974)	(3.312)	(15.85)	(4.615)	(6.777)	(4.105)	(3.827)	(3.292)
lgni	2.430***	2.363***	-0.430	-0.660	2.415	2.824***	2.511***	2.669***
	(0.879)	(0.733)	(3.507)	(1.021)	(1.499)	(0.908)	(0.847)	(0.728)
Constant	-1.164	-8.403	39.49	18.31	-32.71	-18.81	-17.58	-26.88**
	(13.84)	(11.53)	(55.20)	(16.07)	(23.60)	(14.30)	(13.33)	(11.46)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.310	0.514	0.087	0.178	0.123	0.184	0.265	0.805
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
