	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
askm1	-9.434	19.41***	-78.98**	-2.100	17.80	12.28	2.136	21.01***
	(8.591)	(7.185)	(35.70)	(10.45)	(15.07)	(9.242)	(8.449)	(6.092)
askm2	2.672	-3.302*	14.38*	-4.711*	-4.331	-1.227	-1.962	-3.432**
	(2.073)	(1.734)	(8.615)	(2.521)	(3.636)	(2.230)	(2.039)	(1.470)
aspm1	7.835	-14.98***	62.40**	2.736	-12.02	-9.673	1.632	-17.46***
	(6.916)	(5.785)	(28.75)	(8.413)	(12.13)	(7.441)	(6.802)	(4.905)
o.aspm2	-	-	-	-	-	-	-	-
								
askt1a	-36.87	-36.02*	189.0*	92.64***	-15.33	-34.33	-7.992	-38.17**
	(24.16)	(20.21)	(100.4)	(29.39)	(42.39)	(25.99)	(23.76)	(17.13)
askt1b	67.57**	32.70	-186.2	-166.4***	2.954	67.66*	35.48	33.56
	(32.75)	(27.39)	(136.1)	(39.83)	(57.45)	(35.23)	(32.21)	(23.22)
askt2	-7.714	-12.97***	50.98**	14.43**	-13.42	-10.37*	-2.300	-14.64***
	(5.277)	(4.414)	(21.93)	(6.420)	(9.258)	(5.678)	(5.190)	(3.743)
askt3	5.300	18.43**	-58.76	10.23	19.45	-4.377	-13.22	19.62***
	(10.68)	(8.931)	(44.38)	(12.99)	(18.73)	(11.49)	(10.50)	(7.572)
lgni	-0.401	0.190	-1.421	0.489	-1.033	1.108	2.717**	0.806
	(1.187)	(0.993)	(4.933)	(1.444)	(2.082)	(1.277)	(1.167)	(0.842)
lpop	28.37***	28.56***	3.195	-5.478	27.78*	10.64	-9.448	28.34***
	(8.748)	(7.316)	(36.36)	(10.64)	(15.35)	(9.411)	(8.603)	(6.203)
Constant	-524.5***	-529.6***	-10.06	145.1	-493.1*	-204.8	158.7	-536.2***
	(156.2)	(130.7)	(649.4)	(190.1)	(274.1)	(168.1)	(153.7)	(110.8)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.307	0.829	0.059	0.632	0.273	0.233	0.198	0.903
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
