	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
llskm1	8.143	-1.982	10.73	5.558	-8.556	-11.95*	-8.383	-3.237
	(6.107)	(5.090)	(24.35)	(7.099)	(10.43)	(6.331)	(5.741)	(4.422)
llskm2	-0.436	3.546*	-8.109	6.414**	4.297	-1.502	-1.023	3.086*
	(2.317)	(1.931)	(9.238)	(2.694)	(3.957)	(2.402)	(2.178)	(1.678)
llspm1	-6.275	1.708	-7.813	-6.296	6.254	10.35*	5.866	3.061
	(5.199)	(4.333)	(20.73)	(6.044)	(8.879)	(5.390)	(4.888)	(3.765)
llspm2	0.556	-1.419	3.714	-3.526**	-1.690	1.668	1.448	-1.188
	(1.336)	(1.114)	(5.328)	(1.553)	(2.282)	(1.385)	(1.256)	(0.968)
llskt1a	-3.798	2.803	-33.35	-12.57**	5.480	7.897	4.714	4.179
	(5.355)	(4.463)	(21.35)	(6.225)	(9.146)	(5.552)	(5.034)	(3.878)
llskt1b	1.269	-4.755	39.42*	15.58**	-7.383	-10.19*	-5.280	-6.444*
	(5.368)	(4.474)	(21.40)	(6.241)	(9.168)	(5.566)	(5.047)	(3.887)
llskt2	-1.055	0.614	-3.164	-0.558	2.710*	2.176**	1.541*	1.124*
	(0.926)	(0.771)	(3.690)	(1.076)	(1.581)	(0.960)	(0.870)	(0.670)
o.llskt3	-	-	-	-	-	-	-	-
								
lgni	2.250***	2.551***	-0.982	-0.658	1.884	2.387***	2.605***	2.973***
	(0.781)	(0.651)	(3.114)	(0.908)	(1.334)	(0.810)	(0.734)	(0.566)
Constant	51.14***	35.68***	21.67	-4.117	27.81*	47.49***	44.85***	34.73***
	(8.315)	(6.931)	(33.15)	(9.666)	(14.20)	(8.621)	(7.817)	(6.022)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.247	0.815	0.059	0.635	0.251	0.226	0.203	0.890
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
