	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
laskm1	-1.791	16.42***	-56.76**	-1.801	15.25	8.082	-0.483	17.49***
	(6.073)	(5.161)	(24.20)	(7.092)	(10.36)	(6.297)	(5.755)	(4.466)
laskm2	0.377	-2.771***	7.078*	-2.562**	-3.036*	-0.596	-0.258	-2.758***
	(1.059)	(0.900)	(4.219)	(1.237)	(1.806)	(1.098)	(1.003)	(0.779)
laspm1	0.622	-14.02***	46.45**	2.843	-12.22	-7.174	2.181	-15.54***
	(4.965)	(4.220)	(19.79)	(5.799)	(8.471)	(5.149)	(4.706)	(3.652)
o.laspm2	-	-	-	-	-	-	-	-
								
laskt1a	-8.127	-12.46	77.95**	29.47***	-5.537	-11.68	-3.809	-13.65**
	(9.265)	(7.873)	(36.92)	(10.82)	(15.81)	(9.607)	(8.780)	(6.814)
laskt1b	17.17	10.65	-89.06*	-58.48***	0.992	24.70*	15.01	12.00
	(13.03)	(11.07)	(51.92)	(15.22)	(22.23)	(13.51)	(12.35)	(9.582)
laskt2	-1.601	-4.553**	20.89**	4.216*	-4.435	-3.176	-0.716	-5.141***
	(2.172)	(1.845)	(8.654)	(2.536)	(3.705)	(2.252)	(2.058)	(1.597)
laskt3	-0.0857	4.262*	-15.12	4.262	3.891	-2.143	-3.594	4.396**
	(2.904)	(2.468)	(11.57)	(3.392)	(4.954)	(3.012)	(2.752)	(2.136)
lgni	2.671***	3.300***	-0.796	-0.0830	1.901	2.260***	1.666**	3.887***
	(0.722)	(0.614)	(2.879)	(0.844)	(1.233)	(0.749)	(0.685)	(0.531)
Constant	-36.51	-15.95	72.28	108.0***	14.49	-38.61	-32.53	-24.86
	(24.71)	(21.00)	(98.49)	(28.87)	(42.16)	(25.63)	(23.42)	(18.18)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.246	0.808	0.059	0.631	0.252	0.226	0.190	0.887
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
