	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lqskm1	lqskm2	lqskt1a	lqskt1b	lqskt2	lqskt3
						
y4			-2.118	1.582	-1.351	-3.414
			(4.526)	(2.727)	(2.959)	(3.092)
y5			5.162	-2.323	-5.409	0.774
			(5.929)	(3.574)	(3.889)	(4.047)
y6			-1.937	-1.862	1.893	-0.556
			(3.097)	(1.867)	(2.016)	(2.120)
y7			-2.947	0.0632	2.966	2.091
			(3.002)	(1.809)	(1.968)	(2.049)
lgni	-1.268	-0.295	-0.0841	-0.706	-1.640	1.294
	(1.118)	(0.896)	(1.660)	(1.002)	(1.067)	(1.143)
y1	0.320					
	(1.154)					
y2	-0.179	-0.0834				
	(1.355)	(0.741)				
y3		2.119*				
		(1.198)				
Constant	43.93**	24.91*	23.31	34.59**	50.30***	3.407
	(17.82)	(13.10)	(28.88)	(17.43)	(18.55)	(19.90)
						
Observations	11	11	11	11	11	11
R-squared	0.290	0.509	0.091	0.503	0.557	0.847
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
