	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
ltskm1	45.25	-44.26	-28.34	-77.93*	-66.35	-49.18	-51.34	-27.16
	(35.68)	(29.72)	(142.3)	(41.51)	(60.83)	(36.85)	(33.52)	(25.82)
ltskm2	-21.92*	8.229	11.14	27.96*	27.65	15.73	16.83	6.611
	(12.35)	(10.29)	(49.25)	(14.37)	(21.05)	(12.75)	(11.60)	(8.936)
ltspm1	-28.15	32.32	-3.588	55.16*	42.19	26.52	41.13*	16.51
	(24.55)	(20.45)	(97.90)	(28.56)	(41.85)	(25.35)	(23.06)	(17.77)
ltspm2	2.968	3.080	22.13	-4.792	-3.495	6.597	-6.653	3.521
	(4.334)	(3.610)	(17.29)	(5.042)	(7.390)	(4.477)	(4.072)	(3.137)
ltskt1a	15.48*	6.077	-58.49*	-13.65	6.183	1.241	7.389	8.083
	(8.274)	(6.892)	(33.00)	(9.626)	(14.11)	(8.547)	(7.774)	(5.988)
ltskt1b	-30.62***	5.605	38.20	43.79***	8.721	-5.039	-10.23	-0.779
	(11.86)	(9.876)	(47.29)	(13.79)	(20.22)	(12.25)	(11.14)	(8.581)
ltskt2	11.09	-7.261	4.429	-24.64***	-5.816	8.619	9.525	-2.965
	(7.713)	(6.425)	(30.76)	(8.973)	(13.15)	(7.967)	(7.247)	(5.582)
ltskt3	4.761	-5.321	23.16	-3.720	-6.048	-2.754	-7.244*	-2.792
	(3.974)	(3.311)	(15.85)	(4.624)	(6.777)	(4.105)	(3.734)	(2.876)
lgni	2.428***	2.351***	-0.430	-0.715	2.415	2.824***	2.384***	3.145***
	(0.879)	(0.732)	(3.507)	(1.023)	(1.499)	(0.908)	(0.826)	(0.636)
Constant	-1.245	-8.286	39.49	18.73	-32.71	-18.81	-12.75	-33.18***
	(13.84)	(11.53)	(55.20)	(16.10)	(23.60)	(14.30)	(13.01)	(10.02)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.248	0.815	0.060	0.635	0.254	0.233	0.205	0.891
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
