	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lqskm1	lqskm2	lqspm1	lqspm2	lqskt1a	lqskt1b	lqskt2	lqskt3
								
lhskm1	-2.129**	-0.705	-1.059	-1.854*	-0.0892	0.285	-1.005	0.998
	(0.883)	(0.712)	(3.414)	(1.004)	(1.474)	(0.889)	(0.820)	(0.715)
lhskm2	1.294	1.907**	-2.416	0.143	1.575	1.877*	1.805*	1.208
	(1.052)	(0.848)	(4.068)	(1.196)	(1.757)	(1.059)	(0.977)	(0.853)
lhskt1a	-0.167	-0.825	-27.94	-15.31**	-0.695	4.862	5.987	2.789
	(5.240)	(4.226)	(20.26)	(5.956)	(8.751)	(5.275)	(4.867)	(4.246)
lhskt1b	3.582	-0.0304	36.58	23.35***	-4.534	-14.61*	-13.87*	-6.748
	(7.853)	(6.333)	(30.37)	(8.927)	(13.11)	(7.905)	(7.295)	(6.364)
lhskt2	3.821	0.825	1.737	4.309	0.307	-3.318	-1.949	-0.852
	(2.600)	(2.097)	(10.05)	(2.955)	(4.342)	(2.617)	(2.415)	(2.107)
lhskt3	-6.385	-1.657	-3.246	-7.447	1.970	7.561	6.136	1.717
	(4.901)	(3.953)	(18.95)	(5.572)	(8.185)	(4.934)	(4.553)	(3.972)
lgni	1.176	2.283***	-2.341	-0.136	2.598**	2.236***	2.696***	2.747***
	(0.760)	(0.613)	(2.939)	(0.864)	(1.269)	(0.765)	(0.706)	(0.616)
Constant	1.805	-11.91	40.30	1.258	-9.077	11.77	-0.414	-17.28
	(12.99)	(10.48)	(50.23)	(14.77)	(21.69)	(13.08)	(12.07)	(10.53)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.257	0.510	0.077	0.152	0.095	0.166	0.264	0.799
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
