	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lqskm1	lqskm2	lqskt1a	lqskt1b	lqskt2	lqskt3
						
askm1	-0.276	0.115	1.712	0.264	4.094***	-2.062
	(1.651)	(1.365)	(2.783)	(1.704)	(1.574)	(1.427)
askm2	-0.292	-1.728	-2.641	0.670	-0.800	-0.442
	(1.606)	(1.327)	(2.706)	(1.657)	(1.531)	(1.388)
askt1a	-52.24***	6.286	28.11	-11.79	-31.03*	22.72
	(17.30)	(14.30)	(29.16)	(17.86)	(16.50)	(14.96)
askt1b	82.39***	-1.169	-33.78	54.62*	71.98**	-20.55
	(30.16)	(24.94)	(50.84)	(31.13)	(28.76)	(26.07)
askt2	-10.83***	-0.927	-1.916	-4.497	-9.275***	2.198
	(2.968)	(2.454)	(5.003)	(3.063)	(2.830)	(2.566)
askt3	7.536	2.027	2.981	-13.72	-8.295	-3.555
	(9.899)	(8.183)	(16.68)	(10.21)	(9.437)	(8.556)
lgni	1.488**	2.631***	1.898	2.129***	1.785**	3.627***
	(0.739)	(0.611)	(1.245)	(0.763)	(0.705)	(0.639)
Constant	-9.880	-21.29*	-7.061	-22.53	-19.28	-35.87***
	(14.70)	(12.15)	(24.78)	(15.17)	(14.02)	(12.71)
						
Observations	120	120	120	120	120	120
R-squared	0.281	0.502	0.107	0.151	0.249	0.778
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
