	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lqskm1	lqskm2	lqskt1a	lqskt1b	lqskt2	lqskt3
						
llskm1	-0.869	-0.240	-0.259	0.976	-0.461	1.058*
	(0.775)	(0.623)	(1.290)	(0.778)	(0.719)	(0.632)
llskm2	1.073	1.173**	0.875	0.725	0.903	0.513
	(0.680)	(0.546)	(1.131)	(0.682)	(0.631)	(0.554)
llskt1a	4.342	-0.760	-3.554	2.621	3.802	0.396
	(3.856)	(3.099)	(6.413)	(3.869)	(3.577)	(3.143)
llskt1b	-6.909	0.220	2.538	-11.28*	-10.12*	-2.075
	(6.099)	(4.902)	(10.14)	(6.119)	(5.657)	(4.971)
llskt2	0.323	0.733	1.922	-1.726	-0.464	0.420
	(1.568)	(1.261)	(2.609)	(1.574)	(1.455)	(1.278)
llskt3	0.496	-1.608	-1.938	5.306	3.606	-0.787
	(3.516)	(2.826)	(5.848)	(3.528)	(3.262)	(2.866)
lgni	1.192	2.395***	2.579**	2.696***	2.873***	3.057***
	(0.778)	(0.625)	(1.294)	(0.781)	(0.722)	(0.634)
Constant	13.89	-13.83	-17.34	2.921	-6.219	-25.69***
	(10.90)	(8.764)	(18.13)	(10.94)	(10.12)	(8.887)
						
Observations	120	120	120	120	120	120
R-squared	0.251	0.509	0.095	0.164	0.260	0.795
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
