	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lqskm1	lqskm2	lqskt1a	lqskt1b	lqskt2	lqskt3
						
laskm1	-0.296	0.0914	0.814	-0.316	1.601*	-1.083
	(0.863)	(0.717)	(1.462)	(0.893)	(0.827)	(0.746)
laskm2	0.224	-0.650	-0.900	0.808	0.162	-0.0348
	(0.769)	(0.639)	(1.303)	(0.796)	(0.737)	(0.665)
laskt1a	-14.88***	2.796	9.851	-3.794	-9.517*	7.355
	(5.228)	(4.345)	(8.860)	(5.412)	(5.011)	(4.519)
laskt1b	27.16**	-0.712	-11.21	20.18*	25.63**	-6.337
	(10.71)	(8.905)	(18.16)	(11.09)	(10.27)	(9.261)
laskt2	-3.101***	-0.0475	-0.148	-0.994	-2.508***	0.968
	(0.809)	(0.672)	(1.370)	(0.837)	(0.775)	(0.699)
laskt3	0.952	-0.202	-0.515	-4.770**	-3.299	-1.741
	(2.335)	(1.941)	(3.957)	(2.417)	(2.238)	(2.018)
lgni	1.523**	2.508***	1.680	2.004***	1.721**	3.437***
	(0.730)	(0.606)	(1.236)	(0.755)	(0.699)	(0.631)
Constant	9.094	-16.54**	-8.085	-0.00245	3.535	-34.44***
	(9.513)	(7.907)	(16.12)	(9.848)	(9.118)	(8.223)
						
Observations	120	120	120	120	120	120
R-squared	0.286	0.500	0.104	0.152	0.247	0.780
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
