	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lqskm1	lqskm2	lqskt1a	lqskt1b	lqskt2	lqskt3
						
ltskm1	7.493	6.142	-9.911	-1.741	-1.475	0.822
	(4.929)	(4.135)	(8.393)	(5.138)	(4.776)	(4.078)
ltskm2	-10.21*	-7.869*	9.671	1.154	1.529	-1.103
	(5.390)	(4.522)	(9.178)	(5.619)	(5.223)	(4.459)
ltskt1a	16.11***	13.25***	5.578	12.73**	8.010	11.60**
	(5.845)	(4.903)	(9.952)	(6.093)	(5.663)	(4.835)
ltskt1b	-24.55**	-4.558	-0.316	-15.11	-25.02**	-4.404
	(10.25)	(8.601)	(17.46)	(10.69)	(9.935)	(8.483)
ltskt2	7.981	-6.382	-2.220	5.936	16.74**	-3.427
	(7.259)	(6.090)	(12.36)	(7.568)	(7.034)	(6.006)
ltskt3	0.642	-4.195**	-0.528	-4.359**	0.496	-4.129**
	(2.035)	(1.707)	(3.465)	(2.121)	(1.972)	(1.683)
lgni	2.321***	2.185***	2.541*	2.470***	2.764***	2.521***
	(0.859)	(0.720)	(1.462)	(0.895)	(0.832)	(0.710)
Constant	-1.331	-5.442	-32.06	-14.32	-18.72	-24.86**
	(13.74)	(11.52)	(23.39)	(14.32)	(13.31)	(11.37)
						
Observations	120	120	120	120	120	120
R-squared	0.301	0.501	0.115	0.158	0.247	0.803
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
