	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
askm1	-1.855	-1.297	-1.904	1.701	0.820	-0.506	4.867***	-2.747**
	(1.621)	(1.441)	(6.584)	(1.893)	(2.784)	(1.697)	(1.537)	(1.283)
askm2	0.0894	-1.587	2.482	-5.014***	-3.142	0.185	-1.903	-1.240
	(1.576)	(1.402)	(6.403)	(1.841)	(2.707)	(1.650)	(1.494)	(1.247)
askt1a	-31.46*	28.46*	30.82	80.62***	40.81	0.260	-20.74	32.51**
	(16.98)	(15.10)	(69.00)	(19.83)	(29.17)	(17.78)	(16.10)	(13.44)
askt1b	54.57*	-31.95	-48.98	-154.3***	-54.18	34.35	49.37*	-36.44
	(29.61)	(26.33)	(120.3)	(34.58)	(50.86)	(31.00)	(28.07)	(23.43)
askt2	-6.462**	3.119	11.24	11.44***	0.574	-1.723	-5.466**	3.010
	(2.914)	(2.591)	(11.84)	(3.403)	(5.005)	(3.051)	(2.762)	(2.306)
askt3	2.688	-1.216	-13.28	13.89	2.241	-14.74	-9.199	-1.803
	(9.716)	(8.640)	(39.47)	(11.35)	(16.69)	(10.17)	(9.211)	(7.690)
lgni	2.637***	3.682***	-2.245	-0.179	2.315*	2.486***	1.624**	4.320***
	(0.725)	(0.645)	(2.947)	(0.847)	(1.246)	(0.759)	(0.688)	(0.574)
Constant	-18.75	-28.73**	69.03	49.01***	-4.989	-19.68	-8.149	-40.18***
	(14.43)	(12.83)	(58.62)	(16.85)	(24.79)	(15.11)	(13.68)	(11.42)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.245	0.789	0.021	0.630	0.241	0.209	0.188	0.869
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
