	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
llskm1	-0.0332	0.509	-0.0893	-1.790**	-0.168	0.994	-1.151	0.944*
	(0.759)	(0.632)	(2.992)	(0.871)	(1.290)	(0.778)	(0.701)	(0.554)
llskm2	0.835	1.000*	-1.282	0.603	1.059	0.888	1.203*	0.875*
	(0.666)	(0.554)	(2.623)	(0.764)	(1.131)	(0.682)	(0.614)	(0.486)
llskt1a	3.432	-2.062	-17.44	-14.64***	-4.323	1.877	2.451	-1.445
	(3.777)	(3.141)	(14.88)	(4.333)	(6.417)	(3.867)	(3.485)	(2.756)
llskt1b	-5.481	2.317	18.54	25.67***	4.035	-9.728	-7.092	0.635
	(5.973)	(4.968)	(23.54)	(6.853)	(10.15)	(6.116)	(5.512)	(4.359)
llskt2	0.347	1.037	-3.337	3.442*	2.034	-1.779	-1.019	1.022
	(1.536)	(1.278)	(6.053)	(1.762)	(2.610)	(1.573)	(1.417)	(1.121)
llskt3	0.0664	-2.581	6.192	-8.188**	-2.362	5.116	3.915	-1.886
	(3.444)	(2.864)	(13.57)	(3.951)	(5.851)	(3.526)	(3.178)	(2.513)
lgni	1.761**	2.935***	-2.188	-0.342	2.596**	2.683***	2.674***	3.393***
	(0.762)	(0.634)	(3.003)	(0.874)	(1.295)	(0.780)	(0.703)	(0.556)
Constant	6.050	-21.69**	53.68	-2.081	-16.43	3.809	-4.247	-30.58***
	(10.68)	(8.883)	(42.08)	(12.25)	(18.15)	(10.93)	(9.855)	(7.793)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.217	0.808	0.045	0.630	0.230	0.216	0.202	0.884
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
