	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
laskm1	-1.038	-0.554	-0.520	1.642*	0.454	-0.606	2.157***	-1.328**
	(0.849)	(0.754)	(3.460)	(0.993)	(1.461)	(0.888)	(0.805)	(0.670)
laskm2	0.284	-0.681	0.153	-2.986***	-1.214	0.474	-0.583	-0.442
	(0.757)	(0.672)	(3.085)	(0.885)	(1.302)	(0.791)	(0.718)	(0.597)
laskt1a	-9.092*	9.287**	5.887	25.06***	13.43	-0.545	-7.192	10.46**
	(5.146)	(4.570)	(20.97)	(6.016)	(8.855)	(5.379)	(4.881)	(4.060)
laskt1b	18.12*	-10.95	-17.51	-54.10***	-17.84	13.65	18.37*	-11.93
	(10.55)	(9.365)	(42.98)	(12.33)	(18.15)	(11.02)	(10.00)	(8.321)
laskt2	-1.854**	1.151	1.987	3.059***	0.538	-0.257	-1.604**	1.180*
	(0.796)	(0.707)	(3.244)	(0.931)	(1.370)	(0.832)	(0.755)	(0.628)
laskt3	0.137	-0.750	1.482	5.279**	-0.478	-4.708*	-2.815	-1.158
	(2.298)	(2.041)	(9.366)	(2.687)	(3.955)	(2.403)	(2.180)	(1.813)
lgni	2.661***	3.524***	-1.540	-0.129	2.097*	2.375***	1.632**	4.136***
	(0.718)	(0.638)	(2.927)	(0.840)	(1.236)	(0.751)	(0.681)	(0.567)
Constant	-6.160	-30.45***	43.07	7.037	-11.68	-3.279	6.300	-43.06***
	(9.364)	(8.316)	(38.16)	(10.95)	(16.11)	(9.789)	(8.882)	(7.388)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.246	0.790	0.016	0.630	0.239	0.213	0.189	0.870
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
