	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lrskm1	lrskm2	lrspm1	lrspm2	lrskt1a	lrskt1b	lrskt2	lrskt3
								
ltskm1	8.466*	6.810	-3.426	-4.454	-9.911	-1.741	-0.737	1.569
	(4.932)	(4.142)	(19.67)	(5.799)	(8.393)	(5.138)	(4.702)	(3.581)
ltskm2	-10.16*	-7.684*	4.544	4.542	9.671	1.154	0.513	-2.241
	(5.393)	(4.530)	(21.51)	(6.342)	(9.178)	(5.619)	(5.142)	(3.916)
ltskt1a	16.03***	13.74***	-30.61	-13.42*	6.578	12.73**	3.625	14.49***
	(5.848)	(4.912)	(23.33)	(6.877)	(9.952)	(6.093)	(5.575)	(4.247)
ltskt1b	-24.84**	-3.539	30.55	32.06***	-0.316	-14.11	-17.79*	-6.200
	(10.26)	(8.616)	(40.92)	(12.06)	(17.46)	(10.69)	(9.780)	(7.450)
ltskt2	8.333	-7.742	-8.150	-19.81**	-2.220	5.936	14.86**	-4.306
	(7.264)	(6.100)	(28.97)	(8.541)	(12.36)	(7.568)	(6.925)	(5.275)
ltskt3	0.711	-4.414***	10.09	3.624	-0.528	-4.359**	0.0106	-3.454**
	(2.036)	(1.710)	(8.122)	(2.394)	(3.465)	(2.121)	(1.941)	(1.479)
lgni	2.313***	2.164***	-1.517	-0.540	2.541*	2.470***	2.667***	2.953***
	(0.859)	(0.721)	(3.427)	(1.010)	(1.462)	(0.895)	(0.819)	(0.624)
Constant	-1.382	-5.116	49.58	19.48	-32.06	-14.32	-13.62	-30.66***
	(13.75)	(11.55)	(54.83)	(16.16)	(23.39)	(14.32)	(13.11)	(9.982)
								
Observations	120	120	120	120	120	120	120	120
R-squared	0.238	0.810	0.047	0.622	0.247	0.210	0.171	0.889
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
