	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
mo	120	21,534	1,059	19,724	23,345
lskm1	120	1,319	458.8	669	2,055
lskm2	120	943.2	265.5	549	1,275
lspm1	120	1,347	510.6	680	2,165
lspm2	120	993.4	344.0	444	1,485
lskt1a	120	1,277	315.5	749	1,800
lskt1b	120	898.6	208.4	550	1,250
lskt2	120	546.1	113.1	379	730
lskt3	120	421.1	97.01	250	605
qskm1	120	1.527e+10	5.521e+09	5.291e+09	2.973e+10
qskm2	120	4.304e+09	1.671e+09	1.036e+09	9.367e+09
qspm1	120	8.660e+08	6.201e+08	258,000	3.133e+09
qspm2	120	3.996e+08	1.530e+08	7.918e+07	1.037e+09
qskt1a	120	1.106e+09	5.145e+08	7.650e+07	3.102e+09
qskt1b	120	2.737e+09	9.095e+08	7.303e+08	4.878e+09
qskt2	120	6.913e+08	2.254e+08	1.664e+08	1.601e+09
qskt3	120	2.258e+09	1.449e+09	4.763e+08	7.358e+09
tskm1	120	667.1	235.2	375	1,101
tskm2	120	433.9	123.6	285	669
tspm1	120	708.8	264.0	380	1,193
tspm2	120	428.5	153.7	245	710
tskt1a	120	371.1	61.75	275	461
tskt1b	120	288.1	51.21	205	361
tskt2	120	176.9	27.38	130	214
tskt3	120	100.8	12.17	80	118
rskm1	120	9.544e+12	3.494e+12	3.024e+12	2.345e+13
rskm2	120	1.967e+12	1.269e+12	2.914e+11	5.370e+12
rspm1	120	5.266e+11	2.669e+11	9.804e+07	1.505e+12
rspm2	120	1.695e+11	9.435e+10	2.544e+10	4.639e+11
rskt1a	120	4.166e+11	2.290e+11	2.219e+10	1.430e+12
rskt1b	120	7.806e+11	2.851e+11	1.935e+11	1.761e+12
rskt2	120	1.207e+11	4.139e+10	3.410e+10	3.425e+11
rskt3	120	2.385e+11	1.787e+11	4.082e+10	8.682e+11
pskm1	11	1,327	338.5	860	1,861
pskm2	11	1,044	254.9	624	1,330
pspm1	11	1,337	395.9	735	1,951
pspm2	11	1,080	264.3	695	1,485
pskt1a	11	1,402	237.4	990	1,677
pskt1b	11	1,006	193.0	647	1,235
pskt2	11	776.5	122.0	520	877
pskt3	11	590.9	144.9	341	754
gni	120	2.775e+15	5.738e+14	1.825e+15	3.875e+15
pop	120	2.666e+08	7.059e+06	2.535e+08	2.775e+08
pk	120	15,990	2,508	11,433	20,917
pkf	120	17,688	3,430	12,033	25,635
pp	120	19,884	4,437	12,300	29,417
qskm	120	1.958e+10	5.944e+09	7.135e+09	3.681e+10
qspm	120	1.266e+09	6.393e+08	7.996e+07	3.614e+09
qskt	120	6.792e+09	2.462e+09	2.033e+09	1.694e+10
qqq	120	2.763e+10	7.579e+09	1.002e+10	4.897e+10
rskm	120	1.151e+13	4.404e+12	3.731e+12	2.882e+13
rspm	120	6.961e+11	2.889e+11	4.547e+10	1.586e+12
rskt	120	1.556e+12	6.653e+11	4.336e+11	4.402e+12
rrr	120	1.376e+13	5.078e+12	4.503e+12	3.354e+13
tskm	120	604.1	185.7	358.8	959.3
tspm	120	592.2	197.9	245.1	986.0
tskt	120	225.9	21.89	176.0	276.7
lskm	120	1,215	373.1	647.3	1,793
lspm	120	1,194	397.5	444.2	1,792
lskt	120	759.1	134.5	489.8	1,044
pskm	11	1,255	294.9	817.4	1,676
pspm	11	1,253	327.0	721.6	1,707
pskt	11	912.4	138.2	634.0	1,029
plskm	11	1.025	0.124	0.847	1.263
plspm	11	1.014	0.113	0.850	1.201
plskt	11	1.178	0.0856	1.048	1.307
plskm1	11	1.008	0.141	0.836	1.286
plskm2	11	1.100	0.0911	0.884	1.191
plspm1	11	0.986	0.123	0.839	1.154
plspm2	11	1.125	0.195	0.879	1.565
plskt1a	11	1.096	0.124	0.932	1.322
plskt1b	11	1.107	0.0740	0.988	1.200
plskt2	11	1.434	0.221	1.133	1.781
plskt3	11	1.384	0.187	1.100	1.673
askm1	120	50.83	3.437	43.53	56.05
askm2	120	46.50	5.352	36.86	53.31
aspm1	120	53.00	3.251	44.13	55.88
aspm2	120	46.50	5.352	36.86	53.31
askt1a	120	29.79	3.334	25.61	36.72
askt1b	120	32.55	2.427	28.88	37.27
askt2	120	33.13	5.228	22.60	38.30
askt3	120	24.69	3.544	19.50	32
askm	120	4,985	370.7	4,132	5,554
aspm	120	5,055	394.3	3,970	5,563
askt	120	2,952	348.3	2,306	3,607
llskm1	120	7.122	0.361	6.506	7.628
llskm2	120	6.807	0.298	6.308	7.151
llspm1	120	7.133	0.386	6.522	7.680
llspm2	120	6.832	0.388	6.096	7.303
llskt1a	120	7.119	0.267	6.619	7.496
llskt1b	120	6.772	0.247	6.310	7.131
llskt2	120	6.282	0.208	5.938	6.593
llskt3	120	6.014	0.247	5.521	6.405
llskm	120	7.053	0.324	6.473	7.491
llspm	120	7.026	0.355	6.096	7.491
llskt	120	6.615	0.188	6.194	6.951
laskm1	120	3.926	0.0696	3.773	4.026
laskm2	120	3.833	0.117	3.607	3.976
laspm1	120	3.968	0.0654	3.787	4.023
laspm2	120	3.833	0.117	3.607	3.976
laskt1a	120	3.388	0.106	3.243	3.603
laskt1b	120	3.480	0.0731	3.363	3.618
laskt2	120	3.487	0.173	3.118	3.645
laskt3	120	3.197	0.139	2.971	3.466
lqskm1	120	23.38	0.397	22.39	24.12
lqskm2	120	22.11	0.394	20.76	22.96
lqspm1	120	20.18	1.378	12.46	21.87
lqspm2	120	19.73	0.423	18.19	20.76
lqskt1a	120	20.69	0.601	18.15	21.86
